category,count,pct
POLITICS,32739,16.3
WELLNESS,17827,8.88
ENTERTAINMENT,16058,7.99
TRAVEL,9887,4.92
STYLE & BEAUTY,9649,4.8
PARENTING,8677,4.32
HEALTHY LIVING,6694,3.33
QUEER VOICES,6314,3.14
FOOD & DRINK,6226,3.1
BUSINESS,5937,2.96
COMEDY,5175,2.58
SPORTS,4884,2.43
BLACK VOICES,4528,2.25
HOME & LIVING,4195,2.09
PARENTS,3955,1.97
THE WORLDPOST,3664,1.82
WEDDINGS,3651,1.82
WOMEN,3490,1.74
IMPACT,3459,1.72
DIVORCE,3426,1.71
CRIME,3405,1.7
MEDIA,2815,1.4
WEIRD NEWS,2670,1.33
GREEN,2622,1.31
WORLDPOST,2579,1.28
RELIGION,2556,1.27
STYLE,2254,1.12
SCIENCE,2178,1.08
WORLD NEWS,2177,1.08
TASTE,2096,1.04
TECH,2082,1.04
MONEY,1707,0.85
ARTS,1509,0.75
FIFTY,1401,0.7
GOOD NEWS,1398,0.7
ARTS & CULTURE,1339,0.67
ENVIRONMENT,1323,0.66
COLLEGE,1144,0.57
LATINO VOICES,1129,0.56
CULTURE & ARTS,1030,0.51
EDUCATION,1004,0.5
