category,count,mean_words,p95_words,mean_chars
POLITICS,32739,25.004978771495768,47.0,163.27477931518985
WELLNESS,17827,38.09990463903068,59.0,230.31508386155832
ENTERTAINMENT,16058,21.909951426080458,46.0,139.0142608045834
TRAVEL,9887,33.82077475472843,57.0,207.595023768585
STYLE & BEAUTY,9649,31.277023525753965,46.0,195.50865374650223
PARENTING,8677,37.61726403134724,59.0,222.4120087587876
HEALTHY LIVING,6694,27.515536301165223,60.0,167.26396773229757
QUEER VOICES,6314,28.908299018055114,58.0,179.0207475451378
FOOD & DRINK,6226,25.146964343077418,46.75,155.72373915836815
BUSINESS,5937,30.419740609735555,56.0,192.36112514738082
COMEDY,5175,21.61584541062802,43.0,136.3472463768116
SPORTS,4884,22.868345618345618,46.0,145.61036036036037
BLACK VOICES,4528,26.540856890459363,49.0,169.03136042402826
HOME & LIVING,4195,28.527532777115614,45.29999999999973,176.28891537544695
PARENTS,3955,28.554740834386852,59.0,169.26042983565108
THE WORLDPOST,3664,24.239082969432314,34.0,160.4994541484716
WEDDINGS,3651,33.90523144344015,53.0,207.6020268419611
WOMEN,3490,28.43839541547278,58.0,172.04269340974213
IMPACT,3459,34.49204972535415,60.0,213.235039028621
DIVORCE,3426,33.75919439579685,53.0,205.40922358435492
CRIME,3405,22.86079295154185,40.0,148.31688693098386
MEDIA,2815,23.34316163410302,45.0,152.40674955595026
WEIRD NEWS,2670,17.433333333333334,31.0,110.6868913857678
GREEN,2622,27.549961861174676,56.0,175.1533180778032
WORLDPOST,2579,28.995347033734006,64.09999999999991,185.33656455990695
RELIGION,2556,26.49921752738654,58.0,167.27777777777777
STYLE,2254,17.722715173025733,45.0,110.16015971606033
SCIENCE,2178,25.56611570247934,52.0,165.60881542699724
WORLD NEWS,2177,24.83371612310519,34.19999999999982,164.8787322002756
TASTE,2096,22.349713740458014,48.0,137.9885496183206
TECH,2082,26.189721421709894,47.0,166.74687800192123
MONEY,1707,36.0,55.0,220.03280609256004
ARTS,1509,29.738237243207422,59.0,186.71570576540756
FIFTY,1401,41.63811563169165,74.0,238.83226266952178
GOOD NEWS,1398,20.61659513590844,41.0,127.37625178826896
ARTS & CULTURE,1339,22.27781926811053,33.0,146.10828976848396
ENVIRONMENT,1323,33.256991685563115,53.0,211.55026455026456
COLLEGE,1144,30.704545454545453,58.0,195.21678321678323
LATINO VOICES,1129,25.58281665190434,51.0,164.13374667847654
CULTURE & ARTS,1030,33.91359223300971,53.549999999999955,216.26796116504855
EDUCATION,1004,35.60059760956175,60.0,225.33665338645417
